[INFO 11:13:18 AM] miguelsolorio.symbols activated
[INFO 11:13:18 AM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 11:13:18 AM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 11:13:18 AM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 11:13:18 AM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 11:14:30 AM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 11:14:30 AM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 11:14:30 AM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 11:14:30 AM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 11:14:46 AM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 11:14:46 AM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 11:14:46 AM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 11:14:46 AM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 11:15:58 AM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 11:15:58 AM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 11:15:58 AM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 11:15:58 AM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 11:16:14 AM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 11:16:14 AM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 11:16:14 AM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 11:16:14 AM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 11:16:22 AM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 11:16:22 AM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 11:16:22 AM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 11:16:22 AM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 11:16:29 AM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 11:16:29 AM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 11:16:29 AM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 11:16:29 AM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 11:16:35 AM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 11:16:35 AM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 11:16:35 AM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 11:16:35 AM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 11:17:02 AM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 11:17:02 AM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 11:17:02 AM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 11:17:02 AM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 11:17:18 AM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 11:17:18 AM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 11:17:18 AM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 11:17:18 AM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 11:17:43 AM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 11:17:43 AM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 11:17:43 AM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 11:17:43 AM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 11:17:59 AM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 11:17:59 AM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 11:17:59 AM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 11:17:59 AM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 11:17:59 AM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 11:17:59 AM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 11:17:59 AM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 11:17:59 AM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 12:06:41 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 12:06:41 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 12:06:41 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 12:06:41 PM] 🤖 symbols.files.associations changed, updating to undefined
