[INFO 2:37:31 PM] miguelsolorio.symbols activated
[INFO 2:37:31 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 2:37:31 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 2:37:31 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 2:37:31 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 2:37:33 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 2:37:33 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 2:37:33 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 2:37:33 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 2:37:33 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 2:37:33 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 2:37:33 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 2:37:33 PM] 🤖 symbols.files.associations changed, updating to undefined
